epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.388,0.56546,1.16461,0.90231,0.00349,1,0.44886,0.35103,0.29062,2.99466,0.71944,0.000657143,0.000657143,0.000657143
2,388.158,0.47971,0.62999,0.87933,0.99944,1,0.995,0.97365,0.26815,0.67729,0.7038,0.00125828,0.00125828,0.00125828
3,577.109,0.48947,0.53083,0.88704,0.99976,1,0.995,0.95016,0.32317,0.40735,0.71778,0.00179342,0.00179342,0.00179342
4,765.641,0.44886,0.44449,0.86985,0.99973,1,0.995,0.97536,0.27972,0.3591,0.71359,0.001703,0.001703,0.001703
5,953.904,0.42849,0.402,0.86917,0.99976,1,0.995,0.98748,0.22034,0.27457,0.701,0.001604,0.001604,0.001604
6,1142.72,0.40231,0.36778,0.8578,0.99978,1,0.995,0.98852,0.22833,0.26037,0.7051,0.001505,0.001505,0.001505
7,1330.57,0.37869,0.33191,0.86065,0.99978,1,0.995,0.99133,0.19467,0.21951,0.69781,0.001406,0.001406,0.001406
8,1514.66,0.38167,0.33226,0.86239,0.99949,1,0.995,0.9937,0.18984,0.22007,0.69797,0.001307,0.001307,0.001307
9,1703.41,0.36956,0.30902,0.8564,0.99896,1,0.995,0.99482,0.19717,0.27305,0.69986,0.001208,0.001208,0.001208
10,1887.36,0.33009,0.28614,0.85853,0.99978,1,0.995,0.99349,0.18149,0.19714,0.69536,0.001109,0.001109,0.001109
11,2069.52,0.21653,0.22375,0.77628,0.99973,1,0.995,0.9939,0.1874,0.19895,0.69778,0.00101,0.00101,0.00101
12,2251.53,0.20583,0.21222,0.7797,0.99977,1,0.995,0.995,0.15503,0.17506,0.69189,0.000911,0.000911,0.000911
13,2433.62,0.18354,0.19015,0.77358,0.99979,1,0.995,0.99421,0.1356,0.14602,0.68972,0.000812,0.000812,0.000812
14,2615.54,0.16961,0.17583,0.76353,0.99979,1,0.995,0.995,0.12573,0.14806,0.68677,0.000713,0.000713,0.000713
15,2797.56,0.15058,0.16346,0.76231,0.99979,1,0.995,0.99486,0.11839,0.12784,0.68761,0.000614,0.000614,0.000614
16,2979.68,0.13978,0.15274,0.76826,0.99979,1,0.995,0.99492,0.12083,0.13018,0.68522,0.000515,0.000515,0.000515
17,3161.66,0.12783,0.13903,0.76215,1,1,0.995,0.995,0.09842,0.10408,0.68386,0.000416,0.000416,0.000416
18,3344.17,0.11692,0.12998,0.77226,1,1,0.995,0.995,0.08784,0.10356,0.68376,0.000317,0.000317,0.000317
19,3526.57,0.10745,0.12074,0.75711,1,1,0.995,0.995,0.07454,0.09018,0.68258,0.000218,0.000218,0.000218
20,3708.75,0.0988,0.11365,0.75512,1,1,0.995,0.995,0.07317,0.08673,0.68243,0.000119,0.000119,0.000119
